Player_Name,Title,Country,Date_of_Birth,Birthplace,World_Rank,Rapid_Rating,Blitz_Rating,Classical_Rating,Retired,Date_Collected
Sergei Rublevsky,GM,Russia,"Oct 15, 1974","Kurgan, Russian SFSR, USSR",92,2645,2666,2651,Active,2020-09-07
Jorge Cori,GM,Peru,"Jul 30, 1995","Lima, Peru",91,2599,2585,2652,Active,2020-09-07
Grigoriy Oparin,GM,Russia,"Jul 1, 1997","Munich, Germany",90,2728,2628,2652,Active,2020-09-07
Alexey Sarana,GM,Russia,"Jan 26, 2000","Moscow, Russia",89,2618,2673,2654,Active,2020-09-07
Rauf Mamedov,GM,Azerbaijan,"Apr 26, 1988","Baku, Azerbaijani SSR, Soviet Union",88,2691,2660,2654,Active,2020-09-07
Aleksey Dreev,GM,Russia,"Jan 30, 1969","Stavropol, Russian SFSR, Soviet Union",87,2644,2706,2655,Active,2020-09-07
Constantin Lupulescu,GM,Romania,"Mar 25, 1984","Buftea, Romania",86,2638,2519,2656,Active,2020-09-07
Liviu-Dieter Nisipeanu,GM,Romania,"Aug 1, 1976","Braşov, Romania",85,2653,2637,2657,Active,2020-09-07
Maxime Lagarde,GM,France,"Mar 16, 1994","Niort, Deux-Sèvres, France",84,2684,2630,2657,Active,2020-09-07
Hou Yifan,GM,China,"Feb 27, 1994","Xinghua, Jiangsu, China",83,2621,2601,2658,Active,2020-09-07
Alexander Morozevich,GM,Russia,"Jul 18, 1977","Moscow, Russian SFSR, Soviet Union",82,2651,2705,2659,Active,2020-09-07
Baskaran Adhiban,GM,India,"Aug 15, 1992","Mayiladuthurai, Tamil Nadu, India",81,2624,2633,2659,Active,2020-09-07
Samuel Sevian,GM,United States,"Dec 26, 2000","Corning, New York, U.S.",80,2571,0,2660,Active,2020-09-07
Ferenc Berkes,GM,Hungary,"Aug 8, 1985","Baja, Hungary",79,2674,2675,2661,Active,2020-09-07
Ernesto Inarkiev,GM,Russia,"Dec 9, 1985","Osh Region, Kirghiz SSR, Soviet Union",78,2663,2639,2661,Active,2020-09-07
Rustam Kasimdzhanov,GM,Uzbekistan,"Dec 5, 1979","Tashkent, Uzbek Soviet Socialist Republic, Soviet Union",77,2698,2693,2661,Active,2020-09-07
David W L Howell,GM,England,"Nov 14, 1990","Eastbourne, England, United Kingdom",76,2624,2677,2663,Active,2020-09-07
Hrant Melkumyan,GM,Armenia,"Apr 30, 1989","Yerevan, Armenia",75,2686,2604,2663,Active,2020-09-07
Peter Leko,GM,Hungary,"Sep 8, 1979","Subotica, Yugoslavia (today in Serbia)",74,2710,2738,2663,Active,2020-09-07
Nijat Abasov,GM,Azerbaijan,"May 14, 1995","Baku, Azerbaijan",73,2541,2544,2664,Active,2020-09-07
Illya Nyzhnyk,GM,Ukraine,"Sep 27, 1996","Vinnytsia, Ukraine",72,2658,2694,2665,Active,2020-09-07
Gadir Guseinov,GM,Azerbaijan,"May 21, 1986","Moscow, Russian SFSR, USSR",71,2692,2581,2665,Active,2020-09-07
Ni Hua,GM,China,"May 31, 1983",,70,2647,2579,2667,Active,2020-09-07
Wang Yue,GM,China,"Mar 31, 1987","Taiyuan, Shanxi, China",69,2710,2666,2669,Active,2020-09-07
Vladimir Malakhov,GM,Russia,"Nov 27, 1980","Ivanovo, Russian SFSR, Soviet Union (now Russia)",68,2670,2654,2669,Active,2020-09-07
Gawain C B Jones,GM,England,"Dec 11, 1987","Keighley, West Yorkshire, England, UK",67,2609,2657,2670,Active,2020-09-07
Pavel Eljanov,GM,Ukraine,"May 10, 1983","Kharkiv, Ukrainian SSR, Soviet Union",66,2630,2602,2672,Active,2020-09-07
Etienne Bacrot,GM,France,"Jan 22, 1983","Lille, France",65,2667,2673,2673,Active,2020-09-07
Ray Robson,GM,United States,"Oct 25, 1994","Guam, Micronesia, US",64,2605,2637,2673,Active,2020-09-07
Gata Kamsky,GM,Russia,"Jun 2, 1974","Novokuznetsk, Russian SFSR, Soviet Union",63,2701,2644,2674,Active,2020-09-07
Sanan Sjugirov,GM,Russia,"Jan 31, 1993","Elista, Russia",62,2640,2472,2675,Active,2020-09-07
Boris Gelfand,GM,Israel,"Jun 24, 1968","Minsk, Belarussian SSR, Soviet Union",61,2702,2693,2676,Active,2020-09-07
Parham Maghsoodloo,GM,Iran,"Aug 11, 2000","Gonbad-e Kavus, Iran",60,2532,2601,2676,Active,2020-09-07
Vladimir Fedoseev,GM,Russia,"Feb 16, 1995","Saint Petersburg, Russia",59,2714,2756,2678,Active,2020-09-07
Vassily Ivanchuk,GM,Ukraine,"Mar 18, 1969","Kopychyntsi, Ukrainian SSR, Soviet Union",58,2686,2710,2678,Active,2020-09-07
Alexander Areshchenko,GM,Ukraine,"Jun 15, 1986","Luhansk, Ukrainian SSR, Soviet Union",57,2622,2615,2678,Active,2020-09-07
Markus Ragger,GM,Austria,"Feb 5, 1988","Klagenfurt, Austria",56,2644,2581,2679,Active,2020-09-07
Luke J McShane,GM,England,"Jan 7, 1984","London, England",55,2698,2591,2680,Active,2020-09-07
Andrey Esipenko,GM,Russia,"Mar 22, 2002",Russia,54,2629,2595,2682,Active,2020-09-07
Gabriel Sargissian,GM,Armenia,"Sep 3, 1983","Yerevan, Armenian SSR, Soviet Union",53,2693,2596,2682,Active,2020-09-07
Yuriy Kryvoruchko,GM,Ukraine,"Dec 19, 1986","Lviv, Ukrainian SSR, Soviet Union",52,2697,2617,2682,Active,2020-09-07
A R Saleh Salem,GM,United Arab Emirates,"Jan 4, 1983","Sharjah, United Arab Emirates",51,2689,2659,2682,Active,2020-09-07
Dmitry Jakovenko,GM,Russia,"Jun 29, 1983","Nizhnevartovsk, Russian SFSR, Soviet Union",49,2700,2625,2684,Active,2020-09-07
Alexandr Predke,GM,Russia,"Jan 5, 1994","Dimitrovgrad, Russia",48,2645,2642,2684,Active,2020-09-07
Maxim Matlakov,GM,Russia,"Mar 5, 1991","Leningrad, Russian SFSR, Soviet Union",47,2660,2760,2685,Active,2020-09-07
Igors Rausis,,Latvia,"Apr 7, 1961","Komunarsk, Ukrainian SSR, Soviet Union",46,2421,2527,2685,Active,2020-09-07
Bassem Amin,GM,Egypt,"Sep 9, 1988",Egypt,45,2608,2617,2686,Active,2020-09-07
Ivan Cheparinov,GM,Bulgaria,"Nov 26, 1986","Asenovgrad, Bulgaria",44,2638,2665,2686,Active,2020-09-07
Zoltan Almasi,GM,Hungary,"Aug 29, 1976",Hungary,43,2621,2585,2687,Active,2020-09-07
David Anton Guijarro,GM,Spain,"Jun 23, 1995","Madrid, Spain",42,2667,2622,2688,Active,2020-09-07
Anton Korobov,GM,Ukraine,"Jun 25, 1985","Mezhdurechensk, Kemerovo Oblast, Russian SFSR, Soviet Union",41,2794,2711,2688,Active,2020-09-07
Samuel Shankland,GM,United States,"Oct 1, 1991","Berkeley, California, U.S.",40,2609,2704,2691,Active,2020-09-07
Matthew D Sadler,GM,England,"May 15, 1974","Chatham, England",39,2673,2646,2694,Active,2020-09-07
Kirill Alekseenko,GM,Russia,"Jun 22, 1997","Vyborg, Russia",38,2661,2580,2696,Active,2020-09-07
Daniil Dubov,GM,Russia,"Apr 18, 1996","Moscow, Russia",37,2770,2722,2699,Active,2020-09-07
Bu Xiangzhi,GM,China,"Dec 10, 1985","Qingdao, Shandong, China",36,2642,2760,2705,Active,2020-09-07
Evgeny Tomashevsky,GM,Russia,"Jul 1, 1987","Saratov, Russian SFSR, USSR",35,2681,2695,2706,Active,2020-09-07
Pentala Harikrishna,GM,India,"May 10, 1986","Guntur, Andhra Pradesh, India",21,2705,2614,2732,Active,2020-09-07
Wei Yi,GM,China,"Jun 2, 1999","Yancheng, Jiangsu, China",20,2752,2686,2732,Active,2020-09-07
Veselin Topalov,GM,Bulgaria,"Mar 15, 1975","Ruse, Bulgaria",19,2707,2667,2735,Active,2020-09-07
Hikaru Nakamura,GM,United States,"Dec 9, 1987","Hirakata, Japan",18,2829,2900,2736,Active,2020-09-07
Sergey Karjakin,GM,Russia,"Jan 12, 1990","Simferopol, Ukrainian SSR, Soviet Union",17,2709,2765,2752,Active,2020-09-07
Viswanathan Anand,GM,India,"Dec 11, 1969","Mayiladuthurai, Tamil Nadu, India",16,2751,2785,2753,Active,2020-09-07
Jan-Krzysztof Duda,GM,Poland,"Apr 26, 1998","Krakow, Poland",15,2774,2799,2753,Active,2020-09-07
Leinier Dominguez Perez,GM,United States,"Sep 23, 1983","Havana, Cuba",14,2786,2654,2758,Active,2020-09-07
Richard Rapport,GM,Hungary,"Mar 25, 1996","Szombathely, Hungary",13,2727,2759,2760,Active,2020-09-07
Wang Hao,GM,China,"Aug 4, 1989","Harbin, Heilongjiang, China",12,2750,2712,2763,Active,2020-09-07
Shakhriyar Mamedyarov,GM,Azerbaijan,"Apr 12, 1985","Sumgait, Azerbaijan SSR, Soviet Union",11,2761,2716,2764,Active,2020-09-07
Anish Giri,GM,Netherlands,"Jun 28, 1994","Saint Petersburg, Russia",10,2731,2752,2764,Active,2020-09-07
Teimour Radjabov,GM,Azerbaijan,"Mar 12, 1987","Baku, Azerbaijan SSR, Soviet Union",9,2758,2757,2765,Active,2020-09-07
Wesley So,GM,United States,"Oct 9, 1993","Bacoor, Cavite, Philippines",8,2741,2816,2770,Active,2020-09-07
Levon Aronian,GM,Armenia,"Oct 6, 1982","Yerevan, Armenian SSR, Soviet Union",7,2778,2739,2773,Active,2020-09-07
Alexander Grischuk,GM,Russia,"Oct 31, 1983","Moscow, Russian SFSR, Soviet Union",6,2784,2765,2777,Active,2020-09-07
Maxime Vachier-Lagrave,GM,France,"Oct 21, 1990","Nogent-sur-Marne, France",5,2860,2822,2778,Active,2020-09-07
Ian Nepomniachtchi,GM,Russia,"Jul 14, 1990","Bryansk, Russian SFSR, Soviet Union",4,2778,2785,2784,Active,2020-09-07
Ding Liren,GM,China,"Oct 24, 1992","Wenzhou, Zhejiang, China",3,2836,2788,2791,Active,2020-09-07
Fabiano Caruana,GM,United States,"Jul 30, 1992","Miami, Florida, USA",2,2773,2711,2835,Active,2020-09-07
